DATEID,ORDERDATE,MONTH_ID,YEAR_ID
182,2004-11-15,11,2004
183,2004-11-16,11,2004
184,2004-11-17,11,2004
185,2004-11-18,11,2004
186,2004-11-19,11,2004
187,2004-11-20,11,2004
188,2004-11-21,11,2004
189,2004-11-22,11,2004
190,2004-11-23,11,2004
191,2004-11-24,11,2004
192,2004-11-25,11,2004
193,2004-11-29,11,2004
194,2004-12-01,12,2004
195,2004-12-02,12,2004
196,2004-12-03,12,2004
197,2004-12-04,12,2004
198,2004-12-07,12,2004
199,2004-12-09,12,2004
200,2004-12-10,12,2004
201,2004-12-15,12,2004
202,2004-12-17,12,2004
203,2005-01-05,1,2005
204,2005-01-06,1,2005
205,2005-01-07,1,2005
206,2005-01-10,1,2005
207,2005-01-12,1,2005
208,2005-01-19,1,2005
209,2005-01-20,1,2005
210,2005-01-23,1,2005
211,2005-01-26,1,2005
212,2005-01-31,1,2005
213,2005-02-02,2,2005
214,2005-02-03,2,2005
215,2005-02-08,2,2005
216,2005-02-09,2,2005
217,2005-02-10,2,2005
218,2005-02-16,2,2005
219,2005-02-17,2,2005
220,2005-02-22,2,2005
221,2005-02-23,2,2005
222,2005-02-28,2,2005
223,2005-03-01,3,2005
224,2005-03-02,3,2005
225,2005-03-03,3,2005
226,2005-03-04,3,2005
227,2005-03-09,3,2005
228,2005-03-10,3,2005
229,2005-03-15,3,2005
230,2005-03-17,3,2005
231,2005-03-23,3,2005
232,2005-03-28,3,2005
233,2005-03-30,3,2005
234,2005-04-01,4,2005
235,2005-04-03,4,2005
236,2005-04-07,4,2005
237,2005-04-08,4,2005
238,2005-04-14,4,2005
239,2005-04-15,4,2005
240,2005-04-22,4,2005
241,2005-04-23,4,2005
242,2005-05-01,5,2005
243,2005-05-03,5,2005
244,2005-05-05,5,2005
245,2005-05-06,5,2005
246,2005-05-09,5,2005
247,2005-05-10,5,2005
248,2005-05-13,5,2005
249,2005-05-17,5,2005
250,2005-05-29,5,2005
251,2005-05-30,5,2005
252,2005-05-31,5,2005
